symbol,title,summary,source,url,published,published_date,sentiment_label,sentiment_confidence,sentiment_score
SPY,S&P 500 Rides Tech Earnings Wave Despite Inflation Warning Shot,"The S&P 500 (^GSPC) is off to the races this morning, up 0.50% thanks to tailwinds from mega-cap earnings beats and a sharp pullback in oil prices, even as the Fed’s preferred inflation gauge ran hotter than expected. The broader markets are seeing the glass half full, pushing the S&P 500 (^GSPC) to a gain ... S&P 500 Rides Tech Earnings Wave Despite Inflation Warning Shot",Yahoo,https://finnhub.io/api/news?id=4f5a5fd19bf0f1a33354e212f2dcf0666fcb2ff1ac232c86e972392a211689d7,2026-04-30 13:09:32,2026-04-30,positive,0.9222262501716614,1.0
SPY,"Exchange-Traded Funds, Equity Futures Higher Pre-Bell Thursday Amid Big Tech Earnings, Economic Data",The broad market exchange-traded fund SPDR S&P 500 ETF Trust (SPY) was up 0.4% and the actively trad,Yahoo,https://finnhub.io/api/news?id=0d10ac510d5a9ed574d1d57918cbd571bc4485ac3d7dc220068df2d03c279861,2026-04-30 12:26:08,2026-04-30,positive,0.9468268752098083,1.0
SPY,Midterm Elections Haven't Radically Changed Economic Growth,The composition of the economy and economic growth have been similar no matter the party composition of government.,SeekingAlpha,https://finnhub.io/api/news?id=e029049c1f2c8c6606ab2bc60fe201eb353b4ed496c9093e2f92e143408c7f14,2026-04-30 11:20:00,2026-04-30,neutral,0.9232866168022156,0.5
SPY,3 Terms Investors Will Unfortunately Be Forced To Learn,,SeekingAlpha,https://finnhub.io/api/news?id=452e898afb153d643912720eadded06cefcb8a6eceee50bdce3d10204fb42809,2026-04-30 11:11:29,2026-04-30,negative,0.6355317234992981,0.0
SPY,8 Microcap Stocks Pick Up A Head Of Steam For Enormous Gains,"Tiny microcap stocks are delivering huge gains — leaving behind the giants of the S&P 500. The iShares Micro-Cap ETF, one of the best-known ETFs that invest in tiny companies worth around $500 million on average, returned 12.",Yahoo,https://finnhub.io/api/news?id=6bc5d252254d6487f61d52bcc2c9dc2683cb9eac0b8544c53b86d75b0da0bf3f,2026-04-30 11:07:31,2026-04-30,positive,0.9208052158355713,1.0
SPY,Big Tech's Capex Surge: Why Paul Tudor Jones Is Right About The Liquidity Squeeze,"In the latest earnings reports across the AI kings, the capex fatigue thesis didn't show up. Instead, it continues to accelerate. It's because the demand/revenue is locked in. Read more here",SeekingAlpha,https://finnhub.io/api/news?id=749d03a1c7710c6f77a2e3d322d92688aff2eb9dec73f1f7a059c818a1f4f10d,2026-04-30 10:45:00,2026-04-30,neutral,0.7803480625152588,0.5
SPY,Breadth Slips Beneath the Surface as Indexes Hold Near Highs,"Wednesday’s index action looked calm, but the internals weakened noticeably. SPY and QQQ stayed close to their highs, IWM lagged again, and the breadth data deteriorated enough to shift the short-term backdrop from clearly positive to neutral with a positive bias.",ChartMill,https://finnhub.io/api/news?id=502273782b11cf1d53f5fc13fdbc32d9df8b96ba686a1ee56b2a18803ccfede2,2026-04-30 10:18:19,2026-04-30,negative,0.9423112273216248,0.0
SPY,"After Q1 Tech Earnings, AI Is Boom Or Bust For Markets And Society Too","AI now commands 28% of the S&P 500's market cap, making its growth vital as leaders like AMZN and MSFT drive rational investment. Find out why its success is a market anchor.",SeekingAlpha,https://finnhub.io/api/news?id=ce3f1c6e8425f075e6b6a5e899a085b6981f8b0ed259dd1722c65bfa7106ac0c,2026-04-30 09:58:44,2026-04-30,neutral,0.7678813338279724,0.5
SPY,Office CRE: A Fragile Equilibrium In A Weakening Market,U.S. office vacancy rates persist near 20.2% as record CMBS delinquencies of 12.34% and negative net absorption signal building stress. See why property risks remain high.,SeekingAlpha,https://finnhub.io/api/news?id=78cddae184bdb688e5c4938d1fa7fe570c7dd761de5156cf7f9ead390a42d312,2026-04-30 09:30:00,2026-04-30,negative,0.9572237133979797,0.0
SPY,"Q1 GDP Rises Less Than Expected, Fed's Favorite Inflation Gauge Jumps 3.2% In March (UPDATED)","U.S. GDP grew at a 2% annualized pace in Q1, missing expectations, while PCE inflation jumped to 3.5% as Iran-linked gasoline prices pushed consumer costs higher.",Benzinga,https://finnhub.io/api/news?id=b4d9851497444c0c2ab0fe490ccc2764a8e0a97fe8265572e7cb87ab41704156,2026-04-30 09:11:14,2026-04-30,negative,0.6129611134529114,0.0
